Area(SQM),Price,Negotiable,Balcony,Electricity,Water,Gas,Landline,Elevator,Security,Built_in_Kitchen,Maids_Room,Private_Garden,Parking,Central(A/C)& heating,Pool,Furnished,Bedroom,Bathroom,Location,Type,Level,Compound,Delivery_Date,Delivery_Term
175.0,300000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,Agami,Apartment,1,Nakheel,Ready,Finished
125.0,750000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,Seyouf,Apartment,5,Nakheel,Ready,Finished
250.0,4500000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,Sporting,Apartment,10+,Nakheel,Ready,Finished
120.0,1850000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,Raml Station,Apartment,7,Nakheel,Ready,Finished
155.0,1750000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1189024390243902,3,2,Cleopatra,Apartment,10+,Nakheel,Ready,Finished
160.0,2240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Smoha,Apartment,7,Nakheel,2024,Semi Finished
120.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,Mandara,Apartment,8,Nakheel,Ready,Finished
100.0,720000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,Victoria,Apartment,1,Nakheel,Ready,Finished
165.0,2950000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Sidi Gaber,Apartment,6,Nakheel,Ready,Finished
186.0,3200000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Azarita,Apartment,7,Nakheel,Ready,Finished
170.0,3800000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,Glim,Apartment,4,Nakheel,Ready,Finished
70.0,570000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1,Mandara,Apartment,5,Nakheel,Ready,Finished
131.0,1500000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Gianaclis,Apartment,2,Nakheel,Ready,Finished
172.0,3523884.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,Smoha,Apartment,10,Nakheel,2025,Finished
130.0,1250000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1189024390243902,3,1,Miami,Apartment,10+,Nakheel,Ready,Finished
100.0,580000.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,Seyouf,Apartment,7,Nakheel,Ready,Finished
310.0,6500000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1189024390243902,3,3,Kafr Abdo,Apartment,7,Nakheel,Ready,Finished
200.0,3500000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1189024390243902,3,2,Laurent,Apartment,4,Nakheel,Ready,Finished
200.0,2750000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Smoha,Apartment,6,Nakheel,Ready,Finished
135.0,630000.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,Sidi Beshr,Apartment,10+,Nakheel,Ready,Semi Finished
288.0,4100000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,Smoha,Apartment,2,Nakheel,Ready,Finished
217.0,3650000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,Smoha,Apartment,9,Nakheel,Ready,Finished
212.0,3550000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,Smoha,Apartment,8,Nakheel,Ready,Finished
100.0,1500000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,Smoha,Apartment,7,Nakheel,Ready,Finished
125.0,1500000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,Asafra,Apartment,9,Nakheel,Ready,Finished
186.0,2550000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Roushdy,Apartment,9,Nakheel,Ready,Finished
105.0,500000.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,Agami,Apartment,5,Nakheel,Ready,Finished
67.0,450000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,Seyouf,Apartment,3,Nakheel,Ready,Finished
175.0,1250000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,2,Sidi Beshr,Apartment,6,Nakheel,Ready,Finished
132.0,1400000.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,Al Ibrahimiyyah,Apartment,3,Nakheel,Ready,Finished
170.0,1750000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Laurent,Apartment,10+,Nakheel,Ready,Finished
110.0,430000.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2,1,Agami,Apartment,2,Nakheel,Ready,Finished
200.0,340000.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,Nakheel,Duplex,5,Nakheel,Ready,Finished
160.0,3000000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2,Miami,Apartment,5,Nakheel,Ready,Finished
100.0,290000.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,Nakheel,Apartment,10+,Nakheel,Ready,Finished
135.0,1750000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,Roushdy,Apartment,8,Nakheel,Ready,Finished
